Partnumber,Description,Qty in Stock,UM
61CE-T6-PH28074,6061-T6 (EX102) 1 RL 1.75 OD X .500 WA X 12' EXT,2190.969,LB
61CE-T6-PH28703,6061-T6 (EX1522) 1.5 RL 2.08 OD X .310 X 12' EXT,1716.744,LB
61CE-T6-PH28072,6061-T6 (EX1524) 1.5 RL 2.75 OD X .656 X 12' EXT,2648.404,LB
61CE-T6-PH28071,6061-T6 (EX1525) 1.5 RL 2.375 OD X .475 X 12' EXT,3122.064,LB
61CE-T6-22096,6061-T6 (EX152S) 1.5 RL 2.45 OD SOLID X 12' EXT,5714.95,LB
61CE-T6-PH28069,6061-T6 (EX2522) 2.5 RL 3.530 OD X 1.040 X 12' EXT,6423.936,LB
61CE-T6-PH28068,6061-T6 (EX2524) 2.5 RL 3.625 OD x 12' EXT,2897.06,LB
61CE-T6-PH28067,6061-T6 (EX252H) 2.5 RL X .593,10022.678,LB
61RD.5T6511,6061-T6511 Round Bar 1/2 x 144,6732.692,LB
61RD10T6,6061-T6 Round Bar 10,9690.781,LB
61RD1.25T6511,6061-T6511 Round Bar 1-1/4 x 144,12997.421,LB
61RD11T6,6061-T6 Round Bar 11,9904.909,LB
61RD1.5T6511,6061-T6511 Round Bar 1-1/2 x 144,9352.253,LB
61RD1.75T6511,6061-T6511 Round Bar 1-3/4 x 144,11543.156,LB
61RD2T651,6061-T651 CF Round Bar 2 x 144,1078.382,LB
61RD2.125T6511,6061-T6511 Round Bar 2-1/8 x 144,8386.034,LB
61RD2.25T6511,6061-T6511 Round Bar 2-1/4 x 144,10377.995,LB
61RD2.5T6511,6061-T6511 Round Bar 2-1/2 x 144,3122.375,LB
61RD2.75T6511,6061-T6511 Round bar 2-3/4 x 144,1881.969,LB
61RD3T6511,6061-T6511 Round Bar 3 x 144,12071.836,LB
61RD3.125T6511,6061-T6511 Round Bar 3-1/8 x 144,11960.952,LB
61RD.75T6511,6061-T6511 Round Bar 3/4 x 144,12077.141,LB
61RD3.5T6511,6061-T6511 Round Bar 3-1/2 x 144,9483.612,LB
61RD.375T6511,6061-T6511 Round Bar 3/8 x 144,2011.0,LB
61RD4T6511,6061-T6511 Round Bar 4 x 144,2805.257,LB
61RD4.5T6511,6061-T6511 Round Bar 4-1/2 x 144,3459.372,LB
61RD5T6511,6061-T6511 Round Bar 5 x 144,7186.902,LB
61RD5.5T6511,6061-T6511 Round Bar 5-1/2 x 144,7629.444,LB
61RD5.75T6511,6061-T6511 Round Bar 5-3/4 x 144,21754.225,LB
61RD6T6511,6061-T6511 Round Bar 6 x 144,11881.086,LB
61RD6.5T6511,6061-T6511 Round Bar 6-1/2 x 144,14199.386,LB
61RD7T6511,6061-T6511 Round Bar 7,2047.242,LB
61RD8T6,6061-T6 Round Bar 8 x 144,13232.097,LB
61RD8.5T6,6061-T6 Round Bar 8-1/2,21689.414,LB
61RD9T6511,6061-T6511 Round Bar 9,10309.719,LB
304RD.1875,304-SS Round Bar 3/16,1358.763,LB
61RT3.5T6511-.562,6061-T6511 SMLS EXT TUBE 3-1/2 x 9/16 WA x 144,4116.526,LB
61RT4T6511-.125,6061-T6511 Round Tube 4 x 1/8 WA x 288,4902.616,LB
61RT4.25T6511-1,6061-T6511 SMLS EXT TUBE 4-1/4 x 1 WA x 144,2277.904,LB
61RT4.5T6511-.75,6061-T6511 SMLS EXT TUBE 4-1/2 x 3/4 WA x 144,571.779,LB
61RT4.5T6511-1,6061-T6511 SMLS EXT TUBE 4-1/2 x 1 WA x 144,5595.933,LB
61RT5T6511-.75,6061-T6511 SMLS EXT TUBE 5 x 3/4 WA x 144,988.001,LB
61RT5.5T6511-1,6061-T6511 SMLS EXT TUBE 5-1/2 x 1 WA x 144,595.0,LB
61RT5.75T6511-.625,6061-T6511 SMLS EXT TUBE 5-3/4 x 5/8 WA x 120,397.332,LB
61RT6T6511-1,6061-T6511 SMLS EXT TUBE 6 x 1 WA x 144,208.61,LB
61RT6.25T6511-1,6061-T6511 SMLS EXT TUBE 6-1/4 x 1 WA x 144,2199.506,LB
61RT7T6511/T6-1,6061-T6511 SMLS EXT TUBE 7 x 1 WA x 120,1316.812,LB
61RT7.125T6511-.75,6061-T6511 SMLS EXT TUBE 7-1/8 x 3/4 WA x 120,5740.0,LB
61RT7.125T6511-1.313,6061-T6511 SMLS EXT TUBE 7-1/8 x 1-5/16WA x 120,1624.3,LB
61RT7.75T6511-1,6061-T6511 SMLS EXT TUBE 7-3/4 x 1 WA x 144,2328.0,LB
