"Name","Account #.","Our Code","Sub","Cust/Vend" as text,"Cust/Vend","Type","Region","Rating","Priority","Approved" as text,"Approved","Hold" as text,"Hold","Alt 1","Alt 2","Alt 3","Alt 4","Address1","Address2","Address3","City","State","Zip","Country","County","Phone1" as text,"Phone1","Fax1" as text,"Fax1","Phone2" as text,"Phone2","Fax2" as text,"Fax2","E-Mail","Contact","S.Person-1","S.Person-1 Name","S.Person-2","S.Person-3","S.Person-4","S.Person-5","1099 Form" as text,"1099 Form","Customer Currency","Tax ID#","Resale Cert","GL Account"
"3D Machine Inc.",="797","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","1141 Main St. ","","","Acushnet","MA",="02743","","","858 - 8634",="858 - 8634",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="83-3061067","",="4000-00-00"
="3D Tech Inc",="3D0001","",="1","Customer","C","","","","","Yes","Y","No","n","","","","",="600 Four Rod Rd","","","Berlin","CT",="06037","United States","","829-8998",="829-8998","829-8991",="829-8991",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD",="06-1518018",="9738675-000",="4000-00-00"
"A Reliable Welder LLC",="440","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","","260-6971",="260-6971",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"A&A Industries",="206","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="320 Jubilee Dr","","","Peabody","MA",="01960","","","977-9660",="977-9660",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="04-2674899","Y",="4000-00-00"
"A&D METAL INC ",="629","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","555 Southampton Rd.","","","Westfield","MA",="01085","","","562-3902",="562-3902","413-562-2176",="413-562-2176",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"A&W Metals",="578","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","1060 Eagon St. ","","","Barberton","OH",="44203","","","745 - 2588",="745 - 2588",,"","330 - 745 - 3744",="330 - 745 - 3744",,"","","","JG","Jason Ganser","","","","","No","N","USD",="82-3215579",="77199591",="4000-00-00"
"A.K.O., Inc.",="815","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","50 Baker Hollow Rd. ","","","Windsor","CT",="06095","","","298 - 9765",="298 - 9765","860 - 683 - 4126",="860 - 683 - 4126",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"A-1 Jays Machining",="536","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="2228 Oakland Road","","","San Jose ","CA",="95131","","","262-1845",="262-1845",,"",,"",,"","",="0001","RE","Russell Earls","","","","","No","N","USD",="77-0412441",="1947879",="4000-00-00"
"A1 Screw Machine Products",="186","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="717 Fuller Road","","","Chicopee","MA",="01020","","","594-8939",="594-8939",,"","","",,"","","","BT","Bob Thompson","","","","","No","N","USD",="04-3013824",="5372235",="4000-00-00"
"AAA Metals Company, Inc. ",="462","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","68 Industrial Blvd.","","","Hanson","MA",="02341","","","447-1220",="447-1220",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="04-2711182","",="4000-00-00"
"Abco Fabrications",="235","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","835 Plain St.","Unit #18","","Marshfield","MA",="02050","","","837-2343",="837-2343",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"AB-Wey Machine & Die Co Inc",="455","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="51 School Street","PO Box 567 Hanson, MA 02341","","Pembroke","MA",="02359","","","294-8031",="294-8031","294-4769",="294-4769",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="042437828",="042437828",="4000-00-00"
"Accro-Met Inc. ",="472","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="29 Kripes Road","Suite E","","East Granby","CT",="06026","","","844-0333",="844-0333",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="56-1618363",="804-9-090-11362",="4000-00-00"
"Accudynamics",="617","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","","240 Kenneth Welch Dr.","","","Lakeville","MA",="02347","","","946-4545",="946-4545",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Accurate Lock and Hardware Co., LLC",="272","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="1 Annie Place","","","Stamford","CT",="06902","","","348-8865",="348-8865",,"",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="06-1312568",="6289862-000",="4000-00-00"
"Accurate Screw Machine","A00003","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","10 Audrey Pl.","","","Fairfield","NJ",="07004","United States","","244-9200",="244-9200 ",,"",,"",,"","AccurateScrew.com",="0004","EP","Edward Pantalena","","","","","No","N","USD",="38-2938499",="38-2938499",="4000-00-00"
"Accurate Tool & Die Inc.","A00004","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="16 Leon Place","","","Stamford","CT",="06902","","","967-1200",="967-1200","324-3044",="324-3044",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="06-0849968",="0695197-000",="4000-00-00"
"Accu-Rite",="782","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="23 Industrial Park Rd","","","Tolland","CT","","","",,"",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Ace Precision, Inc.",="790","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="17 Ace Precision Way","P.O. Box 309 ","","Agawam","MA",="01001","","","789 - 7536",="789 - 7536",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="04-3363179","",="4000-00-00"
"ADAX Machine Co., Inc. ",="512","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="5 Flagstone Drive","** READ UNLOAD **","","Hudson","NH",="03051","","","598-6777",="598-6777","598-6750",="598-6750",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="043138263","",="4000-00-00"
"ADI Metal ",="309","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="2930 SW 2nd Avenue","","","Fort Lauderdale","FL",="33315","","","523-6474",="523-6474",,"",,"",,"","","","RJE","Russell Earls","","","","","No","N","USD","","",="4000-00-00"
"Advance Mfg. Co. ",="336","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="8 Turnpike Industrial Road","","","Westfield","MA",="01085","","","568-2411",="568-2411",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
