"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","Type","Rev","NSN","Alt","MFG","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
"01FL.75T6-8",="6101-T6 Flat Bar 3/4"" x 8"" x 144""","0.000","0","LB","0.000","0","0.000","0","FL","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="017568",="01FL75T68","","","",""
"01FL1.5T6-4",="6101-T6 Flat Bar 1-1/2"" x 4"" x 144"" ASTM B317","2,336.400","2336.4","LB","0.000","0","0.000","0","FL","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="011564",="01FL15T64","","","",""
="01FL1T6-4",="6101-T6 Flat Bar 1"" x 4"" x 144"" ASTM B317","3,306.000","3306","LB","0.000","0","0.000","0","FL","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="01164",="01FL1T64","","","",""
="01PP3T6-SCH-40",="6101-T6 NPS Structural 3"" SCH 40 x 480""","3,564.000","3564","LB","0.000","0","0.000","0","PP","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="013640",="01PP3T6SCH40","","","",""
="01PP5T6-SCH-80",="6101-T6 PIPE NPS STRUCTURAL 5"" SCH 80 x 480""","0.000","0","LB","0.000","0","0.000","0","PP","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="015680",="01PP5T6SCH80","","","",""
"03DT.125H22-48-96","3003-H22 Diamond Tread .125"" x 48"" x 96""","0.000","0","LB","0.000","0","0.000","0","DT","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="03125224896",="03DT125H224896","","","",""
"03DT.188H22-48-96","3003-H22 Diamond Tread .188"" x 48"" x 96""","0.000","0","LB","0.000","0","0.000","0","DT","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="03188224896",="03DT188H224896","","","",""
"03DT.25H22-48-96","3003-H22 Diamond Tread .250"" x 48"" x 96""","0.000","0","LB","0.000","0","0.000","0","DT","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="0325224896",="03DT25H224896","","","",""
"03SH.040H14-48-96","3003-H14 Sheet .040"" x 48"" x 96""","0.000","0","LB","0.000","0","0.000","0","SH","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="03040144896",="03SH040H144896","","","",""
"03SH.063H14-48-96","3003-H14 Sheet .063"" x 48"" x 96""","0.000","0","LB","0.000","0","0.000","0","SH","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="03063144896",="03SH063H144896","","","",""
"03SH.080H14-48-96","3003-H14 Sheet .080"" x 48"" x 96""","0.000","0","LB","0.000","0","0.000","0","SH","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="03080144896",="03SH080H144896","","","",""
"03SH.100H14-48-96","3003-H14 Sheet .100"" x 48"" x 96""","6,460.000","6460","LB","6,750.000","6750","0.000","0","SH","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="03100144896",="03SH100H144896","","","",""
"03SH.125H14-48-96","3003-H14 Sheet .125"" x 48"" x 96""","0.000","0","LB","0.000","0","0.000","0","SH","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="03125144896",="03SH125H144896","","","",""
